sex,stageday,stage,pumpID,subject,GroupCount,aucvalues,cue,peRat10sec,,peLatency10sec
F,1,8,1,rat12,481,1.830098051,DS,1,,1.131304277
F,1,8,1,rat16,481,6.92333097,DS,0.931034483,,2.076701789
F,1,8,1,rat4,481,1.798106288,DS,1,,1.465338149
F,1,8,1,rat5,481,8.499536824,DS,0.928571429,,1.497459791
F,1,8,1,rat9,481,2.587790392,DS,0.933333333,,1.808477623
F,1,8,2,rat12,481,2.989089616,DS,1,,0.827271851
F,1,8,2,rat16,481,9.615171983,DS,0.931034483,,1.29821696
F,1,8,2,rat4,481,4.554428417,DS,1,,1.532417365
F,1,8,2,rat5,481,12.21279617,DS,0.928571429,,1.487528566
F,1,8,2,rat9,481,3.274904589,DS,0.933333333,,1.414910537
F,2,8,1,rat16,481,5.102455652,DS,0.833333333,,2.470200785
F,2,8,1,rat4,481,1.555010442,DS,1,,2.225504256
F,2,8,1,rat5,481,5.776459612,DS,0.933333333,,1.507454031
F,2,8,1,rat9,481,2.434764627,DS,0.833333333,,1.311877803
F,2,8,2,rat16,481,8.83658748,DS,0.833333333,,1.685375269
F,2,8,2,rat4,481,2.213021739,DS,1,,1.304450389
F,2,8,2,rat5,481,11.86531098,DS,0.933333333,,1.417696597
F,2,8,2,rat9,481,4.821633956,DS,0.833333333,,0.8749056
F,3,8,1,rat9,481,5.776204163,DS,0.933333333,,1.339932672
F,3,8,2,rat9,481,5.514913968,DS,0.933333333,,1.102160782
M,1,8,1,rat10,481,1.784362623,DS,1,,1.51676928
M,1,8,1,rat11,481,1.331081468,DS,1,,1.61124352
M,1,8,1,rat15,481,6.916331851,DS,0.931034483,,2.286639262
M,1,8,1,rat6,481,3.905600601,DS,0.965517241,,1.356128886
M,1,8,1,rat7,481,7.117999451,DS,1,,1.348602149
M,1,8,2,rat10,481,9.539434269,DS,1,,2.22273536
M,1,8,2,rat11,481,5.701431951,DS,1,,1.2464128
M,1,8,2,rat15,481,7.310619036,DS,0.931034483,,1.96370432
M,1,8,2,rat6,481,2.586503072,DS,0.965517241,,2.299308715
M,1,8,2,rat7,481,7.129240851,DS,1,,2.127309483
M,2,8,1,rat10,481,15.33009436,DS,0.966666667,,1.789013644
M,2,8,1,rat11,481,2.580907788,DS,1,,1.461795375
M,2,8,1,rat15,481,13.89478617,DS,0.933333333,,1.929972185
M,2,8,1,rat6,481,6.431252148,DS,1,,2.80526848
M,2,8,1,rat7,481,6.492398775,DS,0.866666667,,1.519956283
M,2,8,2,rat10,481,3.674181369,DS,0.966666667,,1.527116231
M,2,8,2,rat11,481,7.858603385,DS,1,,1.760486669
M,2,8,2,rat15,481,7.635754945,DS,0.933333333,,2.121859072
M,2,8,2,rat6,481,1.922772706,DS,1,,1.855675246
M,2,8,2,rat7,481,7.396175743,DS,0.866666667,,1.957673748
M,3,8,1,rat15,481,14.19398039,DS,0.933333333,,1.98131712
M,3,8,2,rat15,481,2.219004332,DS,0.933333333,,2.311493271
F,1,8,1,rat12,481,-0.378395087,NS,0.310344828,,5.3597184
F,1,8,1,rat16,481,3.640128598,NS,0.214285714,,8.06977536
F,1,8,1,rat4,481,-0.478477191,NS,0.1,,5.71981824
F,1,8,1,rat5,481,0.264992575,NS,0.464285714,,7.0873088
F,1,8,1,rat9,481,-1.932608907,NS,0.285714286,,0.27000832
F,1,8,2,rat12,481,0.544557778,NS,0.310344828,,3.65969408
F,1,8,2,rat16,481,1.055769691,NS,0.214285714,,5.1922944
F,1,8,2,rat4,481,2.664701364,NS,0.1,,NaN
F,1,8,2,rat5,481,4.994863313,NS,0.464285714,,2.187853824
F,1,8,2,rat9,481,3.373941584,NS,0.285714286,,4.16989184
F,2,8,1,rat16,481,2.051404999,NS,0.392857143,,3.52485376
